item_id,annotator,valid,confidence_scale,reason,notes,type
5706a30b75f01819005e7c90::SEM::0,thomas,1,5,,,SEMANTIC
5706a30b75f01819005e7c90::SEM::1,thomas,1,5,,,SEMANTIC
5706a30b75f01819005e7c90::SYN::0,thomas,1,4,,Note that some precision is missing (ANC) but is coherent with original question,SYNTACTIC
5706a30b75f01819005e7c90::SYN::1,thomas,1,4,,Note that some precision is missing (ANC) but is coherent with original question,SYNTACTIC
5706a30b75f01819005e7c90::LEX::0,thomas,1,2,,"The question is very close to the first synthatic one replacing ""in"" by ""by""",LEXICAL
5706a30b75f01819005e7c90::LEX::1,thomas,1,5,,,LEXICAL
5706af7575f01819005e7d38::SEM::0,thomas,1,5,,,SEMANTIC
5706af7575f01819005e7d38::SEM::1,thomas,1,5,,,SEMANTIC
5706af7575f01819005e7d38::SYN::0,thomas,1,5,,,SYNTACTIC
5706af7575f01819005e7d38::SYN::1,thomas,-1,5,DUPLICATE,,SYNTACTIC
5706af7575f01819005e7d38::LEX::0,thomas,1,5,,,LEXICAL
5706af7575f01819005e7d38::LEX::1,thomas,1,5,,,LEXICAL
5a6a6750a9e0c9001a4e9deb::SEM::0,thomas,1,5,,,SEMANTIC
5a6a6750a9e0c9001a4e9deb::SEM::1,thomas,-1,5,DUPLICATE,,SEMANTIC
5a6a6750a9e0c9001a4e9deb::SYN::0,thomas,1,5,,,SYNTACTIC
5a6a6750a9e0c9001a4e9deb::SYN::1,thomas,-1,5,DUPLICATE,,SYNTACTIC
5a6a6750a9e0c9001a4e9deb::LEX::0,thomas,1,5,,,LEXICAL
5a6a6750a9e0c9001a4e9deb::LEX::1,thomas,-1,5,DUPLICATE,,LEXICAL
5727bb46ff5b5019007d93a0::SEM::0,thomas,1,3,,,SEMANTIC
5727bb46ff5b5019007d93a0::SEM::1,thomas,1,5,,,SEMANTIC
5727bb46ff5b5019007d93a0::SYN::0,thomas,0,5,,,SYNTACTIC
5727bb46ff5b5019007d93a0::SYN::1,thomas,0,5,,,SYNTACTIC
5727bb46ff5b5019007d93a0::LEX::0,thomas,1,2,,Problème ce n'est pas la même question mais la réponse attendue est la même....,LEXICAL
5727bb46ff5b5019007d93a0::LEX::1,thomas,1,2,,Problème ce n'est pas la même question mais la réponse attendue est la même....,LEXICAL
57268141f1498d1400e8e20c::SEM::0,thomas,1,4,,"Oui mais information complémentaire possible ""capture Toussaint Louverture""",SEMANTIC
57268141f1498d1400e8e20c::SEM::1,thomas,1,4,,"Oui mais information complémentaire possible ""capture Toussaint Louverture""",SEMANTIC
57268141f1498d1400e8e20c::SYN::0,thomas,1,5,,,SYNTACTIC
57268141f1498d1400e8e20c::SYN::1,thomas,-1,5,DUPLICATE,,SYNTACTIC
57268141f1498d1400e8e20c::LEX::0,thomas,1,5,,,LEXICAL
57268141f1498d1400e8e20c::LEX::1,thomas,-1,5,DUPLICATE,,LEXICAL
5ace3dc232bba1001ae4a003::SEM::0,thomas,1,5,,,SEMANTIC
5ace3dc232bba1001ae4a003::SEM::1,thomas,1,5,,,SEMANTIC
5ace3dc232bba1001ae4a003::SYN::0,thomas,0,5,OTHER,Pas la même réponse,SYNTACTIC
5ace3dc232bba1001ae4a003::SYN::1,thomas,0,5,OTHER,,SYNTACTIC
5ace3dc232bba1001ae4a003::LEX::0,thomas,0,5,OTHER,,LEXICAL
5ace3dc232bba1001ae4a003::LEX::1,thomas,0,5,OTHER,,LEXICAL
573050f28ab72b1400f9c448::SEM::0,thomas,1,5,,,SEMANTIC
573050f28ab72b1400f9c448::SEM::1,thomas,1,5,,,SEMANTIC
573050f28ab72b1400f9c448::SYN::0,thomas,1,5,,,SYNTACTIC
573050f28ab72b1400f9c448::SYN::1,thomas,-1,5,DUPLICATE,,SYNTACTIC
573050f28ab72b1400f9c448::LEX::0,thomas,1,5,,,LEXICAL
573050f28ab72b1400f9c448::LEX::1,thomas,1,5,,,LEXICAL
5a8cae39fd22b3001a8d8d23::SEM::0,thomas,1,3,,,SEMANTIC
5a8cae39fd22b3001a8d8d23::SEM::1,thomas,1,3,,,SEMANTIC
5a8cae39fd22b3001a8d8d23::SYN::0,thomas,-1,3,DUPLICATE,In my opinion context is missing ,SYNTACTIC
5a8cae39fd22b3001a8d8d23::SYN::1,thomas,1,5,,In my opinion context is missing ,SYNTACTIC
5a8cae39fd22b3001a8d8d23::LEX::0,thomas,-1,5,DUPLICATE,In my opinion context is missing ,LEXICAL
5a8cae39fd22b3001a8d8d23::LEX::1,thomas,-1,5,DUPLICATE,In my opinion context is missing ,LEXICAL
5728037eff5b5019007d9af0::SEM::0,thomas,1,4,,,SEMANTIC
5728037eff5b5019007d9af0::SEM::1,thomas,1,4,,,SEMANTIC
5728037eff5b5019007d9af0::SYN::0,thomas,1,5,,,SYNTACTIC
5728037eff5b5019007d9af0::SYN::1,thomas,1,5,,,SYNTACTIC
5728037eff5b5019007d9af0::LEX::0,thomas,1,5,,,LEXICAL
5728037eff5b5019007d9af0::LEX::1,thomas,1,5,,,LEXICAL
57273da05951b619008f8733::SEM::0,thomas,1,5,,,SEMANTIC
57273da05951b619008f8733::SEM::1,thomas,1,5,,,SEMANTIC
57273da05951b619008f8733::SYN::0,thomas,-1,5,DUPLICATE,,SYNTACTIC
57273da05951b619008f8733::SYN::1,thomas,1,5,,,SYNTACTIC
57273da05951b619008f8733::LEX::0,thomas,1,5,,,LEXICAL
57273da05951b619008f8733::LEX::1,thomas,1,5,,,LEXICAL
5ad3918c604f3c001a3fe67d::SEM::0,thomas,1,5,,,SEMANTIC
5ad3918c604f3c001a3fe67d::SEM::1,thomas,-1,5,DUPLICATE,,SEMANTIC
5ad3918c604f3c001a3fe67d::SYN::0,thomas,0,5,,,SYNTACTIC
5ad3918c604f3c001a3fe67d::SYN::1,thomas,0,5,,,SYNTACTIC
5ad3918c604f3c001a3fe67d::LEX::0,thomas,0,5,,,LEXICAL
5ad3918c604f3c001a3fe67d::LEX::1,thomas,0,5,,,LEXICAL
570e28710dc6ce1900204e09::SEM::0,thomas,1,5,,,SEMANTIC
570e28710dc6ce1900204e09::SEM::1,thomas,1,5,,,SEMANTIC
570e28710dc6ce1900204e09::SYN::0,thomas,1,5,,,SYNTACTIC
570e28710dc6ce1900204e09::SYN::1,thomas,1,5,,,SYNTACTIC
570e28710dc6ce1900204e09::LEX::0,thomas,1,5,,,LEXICAL
570e28710dc6ce1900204e09::LEX::1,thomas,1,5,,,LEXICAL
5a75142d97ca42001a521e7f::SEM::0,thomas,1,5,,,SEMANTIC
5a75142d97ca42001a521e7f::SEM::1,thomas,1,5,,,SEMANTIC
5a75142d97ca42001a521e7f::SYN::0,thomas,0,5,AMBIGUOUS,We can find an answer in the text....,SYNTACTIC
