item_id,annotator,valid,reason,notes,type
TRAIN_Q000::SEM::0,thomas,,,,SEMANTIC
TRAIN_Q000::SEM::1,thomas,,,,SEMANTIC
TRAIN_Q000::SEM::2,thomas,,,,SEMANTIC
TRAIN_Q000::SYN::0,thomas,,,,SYNTACTIC
TRAIN_Q000::SYN::1,thomas,,,,SYNTACTIC
TRAIN_Q000::SYN::2,thomas,,,,SYNTACTIC
TRAIN_Q000::LEX::0,thomas,,,,LEXICAL
TRAIN_Q000::LEX::1,thomas,,,,LEXICAL
TRAIN_Q000::LEX::2,thomas,,,,LEXICAL
TRAIN_Q001::SEM::0,thomas,,,,SEMANTIC
TRAIN_Q001::SEM::1,thomas,,,,SEMANTIC
TRAIN_Q001::SEM::2,thomas,,,,SEMANTIC
TRAIN_Q001::SYN::0,thomas,,,,SYNTACTIC
TRAIN_Q001::SYN::1,thomas,,,,SYNTACTIC
TRAIN_Q001::SYN::2,thomas,,,,SYNTACTIC
TRAIN_Q001::LEX::0,thomas,,,,LEXICAL
TRAIN_Q001::LEX::1,thomas,,,,LEXICAL
TRAIN_Q001::LEX::2,thomas,,,,LEXICAL
TRAIN_Q003::SEM::0,thomas,,,,SEMANTIC
TRAIN_Q003::SEM::1,thomas,,,,SEMANTIC
TRAIN_Q003::SEM::2,thomas,,,,SEMANTIC
TRAIN_Q003::SYN::0,thomas,,,,SYNTACTIC
TRAIN_Q003::SYN::1,thomas,,,,SYNTACTIC
TRAIN_Q003::SYN::2,thomas,,,,SYNTACTIC
TRAIN_Q003::LEX::0,thomas,,,,LEXICAL
TRAIN_Q003::LEX::1,thomas,,,,LEXICAL
TRAIN_Q003::LEX::2,thomas,,,,LEXICAL
TRAIN_Q005::SEM::0,thomas,,,,SEMANTIC
TRAIN_Q005::SEM::1,thomas,,,,SEMANTIC
TRAIN_Q005::SEM::2,thomas,,,,SEMANTIC
TRAIN_Q005::SYN::0,thomas,,,,SYNTACTIC
TRAIN_Q005::SYN::1,thomas,,,,SYNTACTIC
TRAIN_Q005::SYN::2,thomas,,,,SYNTACTIC
TRAIN_Q005::LEX::0,thomas,,,,LEXICAL
TRAIN_Q005::LEX::1,thomas,,,,LEXICAL
TRAIN_Q005::LEX::2,thomas,,,,LEXICAL
TRAIN_Q006::SEM::0,thomas,,,,SEMANTIC
TRAIN_Q006::SEM::1,thomas,,,,SEMANTIC
TRAIN_Q006::SEM::2,thomas,,,,SEMANTIC
TRAIN_Q006::SYN::0,thomas,,,,SYNTACTIC
TRAIN_Q006::SYN::1,thomas,,,,SYNTACTIC
TRAIN_Q006::SYN::2,thomas,,,,SYNTACTIC
TRAIN_Q006::LEX::0,thomas,,,,LEXICAL
TRAIN_Q006::LEX::1,thomas,,,,LEXICAL
TRAIN_Q006::LEX::2,thomas,,,,LEXICAL
TRAIN_Q007::SEM::0,thomas,,,,SEMANTIC
TRAIN_Q007::SEM::1,thomas,,,,SEMANTIC
TRAIN_Q007::SEM::2,thomas,,,,SEMANTIC
TRAIN_Q007::SYN::0,thomas,,,,SYNTACTIC
TRAIN_Q007::SYN::1,thomas,,,,SYNTACTIC
TRAIN_Q007::SYN::2,thomas,,,,SYNTACTIC
TRAIN_Q007::LEX::0,thomas,,,,LEXICAL
TRAIN_Q007::LEX::1,thomas,,,,LEXICAL
TRAIN_Q007::LEX::2,thomas,,,,LEXICAL
TRAIN_Q008::SEM::0,thomas,,,,SEMANTIC
TRAIN_Q008::SEM::1,thomas,,,,SEMANTIC
TRAIN_Q008::SEM::2,thomas,,,,SEMANTIC
TRAIN_Q008::SYN::0,thomas,,,,SYNTACTIC
TRAIN_Q008::SYN::1,thomas,,,,SYNTACTIC
TRAIN_Q008::SYN::2,thomas,,,,SYNTACTIC
TRAIN_Q008::LEX::0,thomas,,,,LEXICAL
TRAIN_Q008::LEX::1,thomas,,,,LEXICAL
TRAIN_Q008::LEX::2,thomas,,,,LEXICAL
TRAIN_Q009::SEM::0,thomas,,,,SEMANTIC
TRAIN_Q009::SEM::1,thomas,,,,SEMANTIC
TRAIN_Q009::SEM::2,thomas,,,,SEMANTIC
TRAIN_Q009::SYN::0,thomas,,,,SYNTACTIC
TRAIN_Q009::SYN::1,thomas,,,,SYNTACTIC
TRAIN_Q009::SYN::2,thomas,,,,SYNTACTIC
TRAIN_Q009::LEX::0,thomas,,,,LEXICAL
TRAIN_Q009::LEX::1,thomas,,,,LEXICAL
TRAIN_Q009::LEX::2,thomas,,,,LEXICAL
TRAIN_Q010::SEM::0,thomas,,,,SEMANTIC
TRAIN_Q010::SEM::1,thomas,,,,SEMANTIC
TRAIN_Q010::SEM::2,thomas,,,,SEMANTIC
TRAIN_Q010::SYN::0,thomas,,,,SYNTACTIC
TRAIN_Q010::SYN::1,thomas,,,,SYNTACTIC
TRAIN_Q010::SYN::2,thomas,,,,SYNTACTIC
TRAIN_Q010::LEX::0,thomas,,,,LEXICAL
TRAIN_Q010::LEX::1,thomas,,,,LEXICAL
TRAIN_Q010::LEX::2,thomas,,,,LEXICAL
TRAIN_Q011::SEM::0,thomas,,,,SEMANTIC
TRAIN_Q011::SEM::1,thomas,,,,SEMANTIC
TRAIN_Q011::SEM::2,thomas,,,,SEMANTIC
TRAIN_Q011::SYN::0,thomas,,,,SYNTACTIC
