item_id,annotator,valid,reason,notes,type
56bf79c73aeaaa14008c9671::SEM::0,kent,1.0,,,SEMANTIC
56bf79c73aeaaa14008c9671::SEM::1,kent,0.0,SPAN_MISSING,,SEMANTIC
56bf79c73aeaaa14008c9671::SEM::2,kent,1.0,,,SEMANTIC
56bf79c73aeaaa14008c9671::SYN::0,kent,1.0,,,SYNTACTIC
56bf79c73aeaaa14008c9671::SYN::1,kent,1.0,,borderline,SYNTACTIC
56bf79c73aeaaa14008c9671::SYN::2,kent,1.0,,,SYNTACTIC
56bf79c73aeaaa14008c9671::LEX::0,kent,1.0,,,LEXICAL
56bf79c73aeaaa14008c9671::LEX::1,kent,1.0,,,LEXICAL
56bf79c73aeaaa14008c9671::LEX::2,kent,1.0,,,LEXICAL
56bf8c8aa10cfb140055116c::SEM::0,kent,1.0,,,SEMANTIC
56bf8c8aa10cfb140055116c::SEM::1,kent,0.0,OTHER,,SEMANTIC
56bf8c8aa10cfb140055116c::SEM::2,kent,1.0,,,SEMANTIC
56bf8c8aa10cfb140055116c::SYN::0,kent,1.0,,,SYNTACTIC
56bf8c8aa10cfb140055116c::SYN::1,kent,1.0,,,SYNTACTIC
56bf8c8aa10cfb140055116c::SYN::2,kent,1.0,,,SYNTACTIC
56bf8c8aa10cfb140055116c::LEX::0,kent,1.0,,,LEXICAL
56bf8c8aa10cfb140055116c::LEX::1,kent,1.0,,,LEXICAL
56bf8c8aa10cfb140055116c::LEX::2,kent,1.0,,,LEXICAL
56d4d9392ccc5a1400d8329f::SEM::0,kent,0.0,SPAN_MISSING,,SEMANTIC
56d4d9392ccc5a1400d8329f::SEM::1,kent,1.0,,,SEMANTIC
56d4d9392ccc5a1400d8329f::SEM::2,kent,1.0,,,SEMANTIC
56d4d9392ccc5a1400d8329f::SYN::0,kent,1.0,,,SYNTACTIC
56d4d9392ccc5a1400d8329f::SYN::1,kent,1.0,,,SYNTACTIC
56d4d9392ccc5a1400d8329f::SYN::2,kent,1.0,,,SYNTACTIC
56d4d9392ccc5a1400d8329f::LEX::0,kent,1.0,,,LEXICAL
56d4d9392ccc5a1400d8329f::LEX::1,kent,1.0,,,LEXICAL
56d4d9392ccc5a1400d8329f::LEX::2,kent,1.0,,,LEXICAL
56bec6763aeaaa14008c93f4::SEM::0,kent,1.0,,,SEMANTIC
56bec6763aeaaa14008c93f4::SEM::1,kent,0.0,OTHER,,SEMANTIC
56bec6763aeaaa14008c93f4::SEM::2,kent,1.0,,,SEMANTIC
56bec6763aeaaa14008c93f4::SYN::0,kent,1.0,,,SYNTACTIC
56bec6763aeaaa14008c93f4::SYN::1,kent,1.0,,,SYNTACTIC
56bec6763aeaaa14008c93f4::SYN::2,kent,1.0,,,SYNTACTIC
56bec6763aeaaa14008c93f4::LEX::0,kent,1.0,,,LEXICAL
56bec6763aeaaa14008c93f4::LEX::1,kent,1.0,,,LEXICAL
56bec6763aeaaa14008c93f4::LEX::2,kent,1.0,,,LEXICAL
56bfd351a10cfb1400551312::SEM::0,kent,0.0,OTHER,,SEMANTIC
56bfd351a10cfb1400551312::SEM::1,kent,1.0,,,SEMANTIC
56bfd351a10cfb1400551312::SEM::2,kent,1.0,,,SEMANTIC
56bfd351a10cfb1400551312::SYN::0,kent,0.0,AMBIGUOUS,,SYNTACTIC
56bfd351a10cfb1400551312::SYN::1,kent,0.0,AMBIGUOUS,,SYNTACTIC
56bfd351a10cfb1400551312::SYN::2,kent,0.0,DUPLICATE,,SYNTACTIC
