item_id,annotator,valid,reason,notes,type
TRAIN_Q000::SEM::0,kent,1,,,SEMANTIC
TRAIN_Q000::SEM::1,kent,1,,,SEMANTIC
TRAIN_Q000::SEM::2,kent,1,,,SEMANTIC
TRAIN_Q000::SYN::0,kent,1,,,SYNTACTIC
TRAIN_Q000::SYN::1,kent,1,,,SYNTACTIC
TRAIN_Q000::SYN::2,kent,1,,,SYNTACTIC
TRAIN_Q000::LEX::0,kent,1,,,LEXICAL
TRAIN_Q000::LEX::1,kent,1,,,LEXICAL
TRAIN_Q000::LEX::2,kent,1,,,LEXICAL
TRAIN_Q001::SEM::0,kent,1,,,SEMANTIC
TRAIN_Q001::SEM::1,kent,1,,,SEMANTIC
TRAIN_Q001::SEM::2,kent,0,OTHER,,SEMANTIC
TRAIN_Q001::SYN::0,kent,1,,,SYNTACTIC
TRAIN_Q001::SYN::1,kent,1,,,SYNTACTIC
TRAIN_Q001::SYN::2,kent,1,,,SYNTACTIC
TRAIN_Q001::LEX::0,kent,1,,,LEXICAL
TRAIN_Q001::LEX::1,kent,1,,,LEXICAL
TRAIN_Q001::LEX::2,kent,1,,,LEXICAL
TRAIN_Q003::SEM::0,kent,1,,,SEMANTIC
TRAIN_Q003::SEM::1,kent,1,,,SEMANTIC
TRAIN_Q003::SEM::2,kent,1,,,SEMANTIC
TRAIN_Q003::SYN::0,kent,1,,,SYNTACTIC
TRAIN_Q003::SYN::1,kent,1,,,SYNTACTIC
TRAIN_Q003::SYN::2,kent,1,,,SYNTACTIC
TRAIN_Q003::LEX::0,kent,1,,,LEXICAL
TRAIN_Q003::LEX::1,kent,1,,,LEXICAL
TRAIN_Q003::LEX::2,kent,1,,,LEXICAL
TRAIN_Q005::SEM::0,kent,0,OTHER,,SEMANTIC
TRAIN_Q005::SEM::1,kent,1,,,SEMANTIC
TRAIN_Q005::SEM::2,kent,0,OTHER,,SEMANTIC
TRAIN_Q005::SYN::0,kent,1,,,SYNTACTIC
TRAIN_Q005::SYN::1,kent,1,,,SYNTACTIC
TRAIN_Q005::SYN::2,kent,1,,,SYNTACTIC
TRAIN_Q005::LEX::0,kent,1,,,LEXICAL
TRAIN_Q005::LEX::1,kent,1,,,LEXICAL
TRAIN_Q005::LEX::2,kent,1,,,LEXICAL
TRAIN_Q006::SEM::0,kent,0,OTHER,,SEMANTIC
TRAIN_Q006::SEM::1,kent,1,,,SEMANTIC
TRAIN_Q006::SEM::2,kent,0,SPAN_MISSING,,SEMANTIC
TRAIN_Q006::SYN::0,kent,0,OUT_OF_SCOPE,,SYNTACTIC
TRAIN_Q006::SYN::1,kent,1,,,SYNTACTIC
TRAIN_Q006::SYN::2,kent,1,,,SYNTACTIC
TRAIN_Q006::LEX::0,kent,1,,,LEXICAL
TRAIN_Q006::LEX::1,kent,1,,,LEXICAL
TRAIN_Q006::LEX::2,kent,1,,,LEXICAL
TRAIN_Q007::SEM::0,kent,1,,,SEMANTIC
TRAIN_Q007::SEM::1,kent,1,,,SEMANTIC
TRAIN_Q007::SEM::2,kent,1,,,SEMANTIC
TRAIN_Q007::SYN::0,kent,1,,,SYNTACTIC
TRAIN_Q007::SYN::1,kent,1,,,SYNTACTIC
TRAIN_Q007::SYN::2,kent,1,,,SYNTACTIC
TRAIN_Q007::LEX::0,kent,1,,,LEXICAL
TRAIN_Q007::LEX::1,kent,1,,,LEXICAL
TRAIN_Q007::LEX::2,kent,1,,,LEXICAL
TRAIN_Q008::SEM::0,kent,1,,,SEMANTIC
TRAIN_Q008::SEM::1,kent,1,,,SEMANTIC
TRAIN_Q008::SEM::2,kent,0,SPAN_MISSING,,SEMANTIC
TRAIN_Q008::SYN::0,kent,0,OTHER,question doesn't match with the original,SYNTACTIC
TRAIN_Q008::SYN::1,kent,0,OTHER,question doesn't match with the original,SYNTACTIC
TRAIN_Q008::SYN::2,kent,0,OTHER,question doesn't match with the original,SYNTACTIC
TRAIN_Q008::LEX::0,kent,0,OTHER,question doesn't match with the original,LEXICAL
TRAIN_Q008::LEX::1,kent,0,OTHER,question doesn't match with the original,LEXICAL
TRAIN_Q008::LEX::2,kent,0,OTHER,question doesn't match with the original,LEXICAL
TRAIN_Q009::SEM::0,kent,1,,,SEMANTIC
TRAIN_Q009::SEM::1,kent,1,,,SEMANTIC
TRAIN_Q009::SEM::2,kent,0,HALLUCINATION,,SEMANTIC
TRAIN_Q009::SYN::0,kent,1,,,SYNTACTIC
TRAIN_Q009::SYN::1,kent,1,,,SYNTACTIC
TRAIN_Q009::SYN::2,kent,0,OTHER,,SYNTACTIC
TRAIN_Q009::LEX::0,kent,0,OTHER,,LEXICAL
TRAIN_Q009::LEX::1,kent,1,,,LEXICAL
TRAIN_Q009::LEX::2,kent,1,,,LEXICAL
TRAIN_Q010::SEM::0,kent,1,,,SEMANTIC
TRAIN_Q010::SEM::1,kent,1,,,SEMANTIC
TRAIN_Q010::SEM::2,kent,1,,,SEMANTIC
TRAIN_Q010::SYN::0,kent,,,,SYNTACTIC
TRAIN_Q010::SYN::1,kent,,,,SYNTACTIC
TRAIN_Q010::SYN::2,kent,,,,SYNTACTIC
